,scikit-optimization,gpytorch-optimization,pyro-optimization
Accuracy,0.8517241379310345,0.8489655172413795,0
Accuracy STD,0.057076807230572,0.044386869829243496,0
AUC-ROC,0.9080700549450548,0.9135609485114129,0
AUC-ROC STD,0.0346898625609854,0.03454262143979745,0
