timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-10-21T18:10:07,GP scikit model,eca91f6b-4eb6-4728-ac8c-b13ddfee4a74,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,28.682466844999,1.547281170137153e-05,5.394519162172178e-07,14.0,0.0,5.746703624725343,0.0001115426935738,0,4.578446815152783e-05,0.0001573271617254,Brazil,BRA,são paulo,,,Linux-6.8.0-47-generic-x86_64-with-glibc2.35,3.10.12,2.7.1,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,-47.0439,-22.895,15.324542999267578,machine,N,1.0
2024-10-21T18:11:27,GP gpytorch model,50e9e56a-1c00-43ad-9b22-239cb6dfc2ff,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,9.934661756000423,5.359282804288458e-06,5.394529714161141e-07,14.0,0.0,5.746703624725343,3.863471058610937e-05,0,1.5858342697012376e-05,5.449305328312175e-05,Brazil,BRA,são paulo,,,Linux-6.8.0-47-generic-x86_64-with-glibc2.35,3.10.12,2.7.1,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,-47.0439,-22.895,15.324542999267578,machine,N,1.0
2024-10-21T18:14:15,GP pyro model,8e2e9ed4-5cf7-47db-abd5-eefb074a108f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,30.372415404001003,1.6384453468841678e-05,5.394517772426927e-07,14.0,0.0,5.746703624725343,0.00011811467157779185,0,4.848204079909105e-05,0.00016659671237688288,Brazil,BRA,são paulo,,,Linux-6.8.0-47-generic-x86_64-with-glibc2.35,3.10.12,2.7.1,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,-47.0439,-22.895,15.324542999267578,machine,N,1.0
