,scikit-model,gpytorch-model,pyro-model
Accuracy,0.8517241379310345,0.8420689655172413,0.7309195402298851
Accuracy STD,0.057076807230572,0.0387825017441867,0.06567122457427974
AUC-ROC,0.9080700549450548,0.9118984147517428,0.7383015634176624
AUC-ROC STD,0.0346898625609854,0.0369084766864884,0.06704121805910006
