,k-NN-model,k-NN-optimization,RNC-model,RNC-optimization,LR-model,LR-optimization,DT-model,DT-optimization,RF-model,RF-optimization,SVM-SVC-model,SVM-SVC-optimization,SVM-NuSVC-model,SVM-NuSVC-optimization,SVM-LinearSVC-model,SVM-LinearSVC-optimization
Accuracy,0.8048275862068965,0.8280459770114943,0.5521839080459771,0.8078160919540232,0.8448275862068966,0.8413793103448276,0.7470114942528735,0.7975862068965518,0.8080459770114942,0.814712643678161,0.8313793103448276,0.8382758620689655,0.82816091954023,0.8482758620689654,0.8448275862068966,0.8514942528735633
Accuracy STD,0.0718529641756487,0.0714702254779698,0.0138045929158642,0.0527855339163205,0.0512158937875402,0.0533759243334878,0.0568691446819647,0.077024274115452,0.0679795419708672,0.0572750674075999,0.062404478464993,0.0617254221917381,0.0610608856890475,0.0591613561281734,0.0512158937875402,0.0575695710937662
AUC-ROC,0.8549965659340659,0.9003434065934066,0.5142857142857142,0.8981112637362635,0.9142857142857144,0.9169642857142858,0.7445398351648351,0.8571428571428571,0.8807520604395604,0.8858516483516483,0.8990728021978022,0.9148351648351648,0.9008585164835166,0.9143887362637364,0.912396978021978,0.9152472527472527
AUC-ROC STD,0.0626344937898845,0.0546816747160549,0.0174963553055941,0.0440327204042942,0.0336696811815294,0.031357666838154,0.0594776750015258,0.0605230617772954,0.0417677754274351,0.035238001235472,0.0425523450395431,0.0328394394403391,0.0440396831535197,0.034805931186312,0.0335690967259528,0.03447049631101979
