,k-NN-model,k-NN-optimization,RNC-model,RNC-optimization,LR-model,LR-optimization,DT-model,DT-optimization,RF-model,RF-optimization,SVM-SVC-model,SVM-SVC-optimization,SVM-NuSVC-model,SVM-NuSVC-optimization,SVM-LinearSVC-model,SVM-LinearSVC-optimization
Accuracy,0.8048275862068965,0.8280459770114943,0.5521839080459771,0.8078160919540232,0.8448275862068966,0.8583908045977011,0.7470114942528735,0.7975862068965518,0.8013793103448276,0.8111494252873562,0.8313793103448276,0.8416091954022988,0.82816091954023,0.8347126436781609,0.8448275862068966,0.84816091954023
Accuracy STD,0.0718529641756487,0.0714702254779698,0.0138045929158642,0.0527855339163205,0.0512158937875402,0.0544803336188581,0.0568691446819647,0.077024274115452,0.06844014447392,0.05171404754707,0.062404478464993,0.0622661830625375,0.0610608856890475,0.03953354661508,0.0512158937875402,0.05755958730422626
AUC-ROC,0.8549965659340659,0.9003434065934066,0.5142857142857142,0.8981112637362635,0.9142857142857144,0.9202953296703298,0.7445398351648351,0.8571428571428571,0.8816449175824175,0.8938530219780221,0.8990728021978022,0.9157623626373628,0.9008585164835166,0.9160714285714284,0.912396978021978,0.9156936813186813
AUC-ROC STD,0.0626344937898845,0.0546816747160549,0.0174963553055941,0.0440327204042942,0.0336696811815294,0.0316312519684226,0.0594776750015258,0.0605230617772954,0.0414190954939263,0.0301402432646661,0.0425523450395431,0.0333267385353535,0.0440396831535197,0.0361674806866596,0.0335690967259528,0.034495615366978934
